迭代次数,距离组件,时间组件,负载组件,生存概率组件
0,0.5387047755719971,0.7004988876423629,0.3333333333333333,0.7808219576512637
1,0.5387047755719971,0.7004988876423629,0.3333333333333333,0.7808219576512637
2,0.5387047755719971,0.7004988876423629,0.3333333333333333,0.7808219576512637
3,0.5387047755719971,0.7004988876423629,0.3333333333333333,0.7808219576512637
4,0.5387047755719971,0.7004988876423629,0.3333333333333333,0.7808219576512637
5,0.5387047755719971,0.7004988876423629,0.3333333333333333,0.7808219576512637
6,0.5387047755719971,0.7004988876423629,0.3333333333333333,0.7808219576512637
7,0.5387047755719971,0.7004988876423629,0.3333333333333333,0.7808219576512637
8,0.5387047755719971,0.7004988876423629,0.3333333333333333,0.7808219576512637
9,0.5387047755719971,0.7004988876423629,0.3333333333333333,0.7808219576512637
10,0.5387047755719971,0.7004988876423629,0.3333333333333333,0.7808219576512637
11,0.5387047755719971,0.7004988876423629,0.3333333333333333,0.7808219576512637
12,0.5387047755719971,0.7004988876423629,0.3333333333333333,0.7808219576512637
13,0.5387047755719971,0.7004988876423629,0.3333333333333333,0.7808219576512637
14,0.5387047755719971,0.7004988876423629,0.3333333333333333,0.7808219576512637
15,0.5387047755719971,0.7004988876423629,0.3333333333333333,0.7808219576512637
16,0.5387047755719971,0.7004988876423629,0.3333333333333333,0.7808219576512637
17,0.5387047755719971,0.7004988876423629,0.3333333333333333,0.7808219576512637
18,0.5387047755719971,0.7004988876423629,0.3333333333333333,0.7808219576512637
19,0.5387047755719971,0.7004988876423629,0.3333333333333333,0.7808219576512637
20,0.5387047755719971,0.7004988876423629,0.3333333333333333,0.7808219576512637
21,0.5387047755719971,0.7004988876423629,0.3333333333333333,0.7808219576512637
22,0.5387047755719971,0.7004988876423629,0.3333333333333333,0.7808219576512637
23,0.5387047755719971,0.7004988876423629,0.3333333333333333,0.7808219576512637
24,0.5387047755719971,0.7004988876423629,0.3333333333333333,0.7808219576512637
25,0.5387047755719971,0.7004988876423629,0.3333333333333333,0.7808219576512637
26,0.5387047755719971,0.7004988876423629,0.3333333333333333,0.7808219576512637
27,0.5387047755719971,0.7004988876423629,0.3333333333333333,0.7808219576512637
28,0.5387047755719971,0.7004988876423629,0.3333333333333333,0.7808219576512637
29,0.5387047755719971,0.7004988876423629,0.3333333333333333,0.7808219576512637
30,0.5387047755719971,0.7004988876423629,0.3333333333333333,0.7808219576512637
31,0.5387047755719971,0.7004988876423629,0.3333333333333333,0.7808219576512637
32,0.5387047755719971,0.7004988876423629,0.3333333333333333,0.7808219576512637
33,0.5387047755719971,0.7004988876423629,0.3333333333333333,0.7808219576512637
34,0.5387047755719971,0.7004988876423629,0.3333333333333333,0.7808219576512637
35,0.5387047755719971,0.7004988876423629,0.3333333333333333,0.7808219576512637
36,0.5387047755719971,0.7004988876423629,0.3333333333333333,0.7808219576512637
