无人机ID,路径顺序,目标X,目标Y,生存概率,飞行距离,任务时间
1,1,3177.0,756.0,0.82,15130.77597307504,2521.7959955125066
1,2,4459.5,2178.5,0.765,15130.77597307504,2521.7959955125066
1,3,4706.0,2674.0,0.87,15130.77597307504,2521.7959955125066
1,4,5468.0,2606.0,0.7,15130.77597307504,2521.7959955125066
1,5,6254.0,2909.67,0.8333333333333334,15130.77597307504,2521.7959955125066
1,6,6898.0,1885.0,0.82,15130.77597307504,2521.7959955125066
2,1,2233.0,10.0,0.89,13503.21612830931,1929.0308754727587
2,2,3082.0,1644.0,0.73,13503.21612830931,1929.0308754727587
2,3,5199.0,2182.0,0.76,13503.21612830931,1929.0308754727587
2,4,5530.0,1424.0,0.85,13503.21612830931,1929.0308754727587
2,5,6104.0,889.5,0.735,13503.21612830931,1929.0308754727587
3,1,538.0,923.5,0.84,19849.43770009539,2420.6631341579746
3,2,1112.0,2049.0,0.84,19849.43770009539,2420.6631341579746
3,3,1633.0,2809.0,0.77,19849.43770009539,2420.6631341579746
3,4,3245.0,3305.0,0.73,19849.43770009539,2420.6631341579746
3,5,4483.0,3369.0,0.82,19849.43770009539,2420.6631341579746
3,6,5900.0,3561.0,0.76,19849.43770009539,2420.6631341579746
3,7,7545.0,2801.0,0.82,19849.43770009539,2420.6631341579746
3,8,7517.5,3653.0,0.755,19849.43770009539,2420.6631341579746
3,9,7591.67,4513.67,0.7566666666666667,19849.43770009539,2420.6631341579746
3,10,7611.0,5184.0,0.76,19849.43770009539,2420.6631341579746
