无人机ID,路径顺序,目标X,目标Y,生存概率,飞行距离,任务时间
1,1,401,841,0.82,16986.12035163046,2831.0200586050764
1,2,1633,2809,0.77,16986.12035163046,2831.0200586050764
1,3,4612,2035,0.74,16986.12035163046,2831.0200586050764
1,4,5185,3258,0.76,16986.12035163046,2831.0200586050764
1,5,5468,2606,0.7,16986.12035163046,2831.0200586050764
1,6,4706,2674,0.87,16986.12035163046,2831.0200586050764
1,7,4307,2322,0.79,16986.12035163046,2831.0200586050764
1,8,5199,2182,0.76,16986.12035163046,2831.0200586050764
1,9,4985,140,0.72,16986.12035163046,2831.0200586050764
2,1,4608,1198,0.89,19938.921230838438,2848.4173186912053
2,2,5530,1424,0.85,19938.921230838438,2848.4173186912053
2,3,6271,2135,0.79,19938.921230838438,2848.4173186912053
2,4,6734,1453,0.77,19938.921230838438,2848.4173186912053
2,5,7265,1268,0.87,19938.921230838438,2848.4173186912053
2,6,6101,1110,0.73,19938.921230838438,2848.4173186912053
2,7,6107,669,0.74,19938.921230838438,2848.4173186912053
2,8,6898,1885,0.82,19938.921230838438,2848.4173186912053
2,9,7545,2801,0.82,19938.921230838438,2848.4173186912053
2,10,7392,2244,0.72,19938.921230838438,2848.4173186912053
3,1,4483,3369,0.82,19762.892760315794,2410.1088732092435
3,2,7352,4506,0.71,19762.892760315794,2410.1088732092435
3,3,7541,3981,0.8,19762.892760315794,2410.1088732092435
3,4,7732,4723,0.79,19762.892760315794,2410.1088732092435
3,5,7280,4899,0.71,19762.892760315794,2410.1088732092435
3,6,7611,5184,0.76,19762.892760315794,2410.1088732092435
3,7,7555,4819,0.74,19762.892760315794,2410.1088732092435
3,8,7762,4595,0.76,19762.892760315794,2410.1088732092435
3,9,7608,4458,0.73,19762.892760315794,2410.1088732092435
3,10,7573,3716,0.71,19762.892760315794,2410.1088732092435
4,1,6347,2683,0.74,17745.995687218405,2909.1796208554765
4,2,7509,3239,0.88,17745.995687218405,2909.1796208554765
4,3,7248,3779,0.86,17745.995687218405,2909.1796208554765
4,4,7462,3590,0.8,17745.995687218405,2909.1796208554765
4,5,6807,2993,0.83,17745.995687218405,2909.1796208554765
4,6,5900,3561,0.76,17745.995687218405,2909.1796208554765
4,7,6426,3173,0.71,17745.995687218405,2909.1796208554765
4,8,5989,2873,0.89,17745.995687218405,2909.1796208554765
4,9,3082,1644,0.73,17745.995687218405,2909.1796208554765
5,1,1112,2049,0.84,18598.196808919638,2447.1311590683736
5,2,3245,3305,0.73,18598.196808919638,2447.1311590683736
5,3,3023,1942,0.8,18598.196808919638,2447.1311590683736
5,4,3177,756,0.82,18598.196808919638,2447.1311590683736
5,5,3484,2829,0.84,18598.196808919638,2447.1311590683736
5,6,1916,1569,0.8,18598.196808919638,2447.1311590683736
5,7,2233,10,0.89,18598.196808919638,2447.1311590683736
5,8,675,1006,0.86,18598.196808919638,2447.1311590683736
5,9,23,2216,0.89,18598.196808919638,2447.1311590683736
5,10,10,2676,0.75,18598.196808919638,2447.1311590683736
